Latitude,Longitude,P,K,Mg,Ca,S,Mo,Mn,Fe,Ni,Cu,Zn,B,Na,Sr,Ba,Al,Si,Cr,Co,Cd,Pb,As
45.54782,-122.60665,0.19,0.54,0.11,0.83,0.12,0.13,61.5,671,1.91,10.2,50.9,32,113,58,42.2,372,451,1.77,0.4,0.43,14.2,BD
45.57009,-122.64356,0.17,0.57,0.16,0.47,0.12,0.7,37.7,943,1.93,25.8,61.6,13.7,183,29.5,31,434,516,2.11,0.53,0.32,7.6,0.27
45.54787,-122.53965,0.21,0.48,0.2,0.48,0.13,0.58,53,1314,2.93,13.7,72.8,12.6,170,48.5,62.6,673,657,3.14,0.87,0.24,4.2,BD
45.45384,-122.51577,0.26,0.56,0.18,0.55,0.08,0.41,31.6,627,1.37,12,35,20.9,153,25.8,40.2,383,479,1.38,0.44,0.13,1.8,BD
45.46631,-122.58462,0.16,0.41,0.12,0.45,0.1,0.94,36,972,3.74,12,37.2,6.7,112,29.4,48.3,553,415,1.79,0.73,0.11,4.8,0.3
45.51493,-122.68193,0.34,0.68,0.19,0.62,0.18,1.17,175,1145,3.04,23.1,83.1,32.7,153,34.1,42.3,443,432,3.75,0.57,0.39,6.2,BD
45.53501,-122.79052,0.23,0.57,0.22,0.53,0.12,0.42,59.6,975,1.42,7.6,42.4,22.6,142,34.8,34.5,382,445,2.24,0.5,0.17,2.4,BD
45.55557,-122.68132,0.21,0.43,0.14,0.58,0.14,0.64,102.3,1386,3.15,18.9,94.6,15.8,99,37.7,60.3,554,460,3.39,0.78,0.36,12.5,0.25
45.5108,-122.60269,0.25,0.51,0.13,0.35,0.13,0.66,101.8,1039,3.71,14.7,44.5,4.8,172,15.1,36.8,550,434,2.08,0.57,0.25,10.7,BD
45.46616,-122.71173,0.15,0.4,0.14,0.4,0.09,0.62,380.3,1086,1.38,7.5,51.7,7,119,21.7,51.1,488,596,1.68,0.65,0.16,3.6,BD
45.57014,-122.68977,0.13,0.44,0.17,0.74,0.15,1.17,56.2,1122,2.94,48.2,94.7,31.9,149,34.3,35.2,485,481,3.41,0.57,0.33,15.6,0.39
45.52379,-122.55503,0.19,0.46,0.15,0.78,0.12,0.18,30.8,857,2.06,11.5,35.4,39.8,117,58.9,85.5,433,433,1.74,0.54,0.19,3.2,0.32
45.45338,-122.73467,0.18,0.35,0.1,0.46,0.09,0.49,99.8,814,1.26,7,43.7,4.9,82,27.3,52.5,411,499,1.49,0.45,0.24,5.1,BD
45.5493,-122.65667,0.16,0.37,0.09,0.39,0.11,0.37,51.1,1031,2.26,18.6,89.7,3.5,98,24.8,35.3,468,454,2.37,0.64,0.28,13.3,BD
45.52254,-122.58347,0.28,0.5,0.16,0.71,0.18,0.63,84.7,1619,8.93,23.3,79.5,28,149,49.6,45,827,782,3.43,1.01,0.23,12.5,0.39
45.55561,-122.6657,0.32,0.63,0.2,0.67,0.17,0.3,56.5,1070,2.27,20,101.9,55.4,111,43.7,62.2,506,570,2.59,0.6,0.75,26.2,0.38
45.56018,-122.6009,0.35,0.61,0.2,0.58,0.16,1.44,64.7,2741,3.4,31,165.6,26.7,135,48.9,65.7,1043,518,3.81,1.27,0.25,17.5,0.52
45.47962,-122.6942,0.24,0.56,0.16,0.65,0.15,0.96,53.5,1167,1.39,14.7,68.7,65.4,155,43.2,79.1,476,509,2.25,0.63,0.25,4.7,BD
45.42759,-122.74598,0.2,0.36,0.08,0.44,0.12,0.67,40.8,1079,1.48,8.1,72.2,3.7,104,30.3,33.1,449,257,2,0.52,0.08,3.6,BD
45.44416,-122.72103,0.15,0.38,0.14,0.4,0.1,0.73,130.6,748,1.24,7.1,50,5.8,183,28.2,54,421,357,1.48,0.52,0.22,3.6,0.27
45.50859,-122.57343,0.22,0.63,0.1,0.42,0.07,0.46,76.3,690,1.91,5.9,30.5,7.6,93,19.1,20.2,366,368,1.3,0.37,0.08,2.8,BD
45.55619,-122.68085,0.24,0.52,0.12,0.43,0.17,1.07,83.2,1739,2.94,26.9,231.6,5.4,117,37.9,71.9,617,520,3.56,0.9,0.39,12.2,BD
45.508,-122.57326,0.22,0.62,0.18,0.49,0.11,0.49,102.5,632,1.52,8.5,27.4,28.1,181,37.7,59,344,456,1.41,0.33,0.1,4.1,BD
